"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority"
"257498";"S";"de:01004:66220";"de:01004:66220";"Neumünster Virchowstraße";"54,089714";"9,963546";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257499";"Q";"de:01004:66220::1";"de:01004:66220";"Neumünster Virchowstraße";"54,089781";"9,963529";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257500";"Q";"de:01004:66220::2";"de:01004:66220";"Neumünster Virchowstraße";"54,089639";"9,963538";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257501";"S";"de:01004:66221";"de:01004:66221";"Neumünster Vogelbeerallee";"54,104048";"9,997879";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257502";"Q";"de:01004:66221::1";"de:01004:66221";"Neumünster Vogelbeerallee";"54,104079";"9,997922";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257503";"Q";"de:01004:66221::2";"de:01004:66221";"Neumünster Vogelbeerallee";"54,103974";"9,997816";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257504";"S";"de:01004:66222";"de:01004:66222";"Neumünster Volkshaus";"54,091448";"9,995755";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257505";"Q";"de:01004:66222::1";"de:01004:66222";"Neumünster Volkshaus";"54,091458";"9,996979";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257506";"Q";"de:01004:66222::2";"de:01004:66222";"Neumünster Volkshaus";"54,092403";"9,995794";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
"257507";"S";"de:01004:66223";"de:01004:66223";"Neumünster Voßgang";"54,049552";"10,021556";"01004000";"Neumünster";"";"";"Served";"Unknown";"";"VBN"
"257508";"Q";"de:01004:66223::1";"de:01004:66223";"Neumünster Voßgang";"54,049598";"10,021789";"00000000";"-";"-";"-";"Served";"Unknown";"";"VBN"
