timestamp;area;sensor;value
01.02.2023 04:47:00;Marktplatz - Autos;count;3.0
01.02.2023 04:49:05;Marktplatz - Autos;count;2.0
01.02.2023 04:50:27;Marktplatz - Autos;count;2.0
01.02.2023 04:53:16;Marktplatz - Autos;count;2.0
01.02.2023 04:56:24;Marktplatz - Autos;count;2.0
01.02.2023 04:59:32;Marktplatz - Autos;count;2.0
01.02.2023 05:01:37;Marktplatz - Autos;count;2.0
01.02.2023 05:03:41;Marktplatz - Autos;count;4.0
01.02.2023 05:04:44;Marktplatz - Autos;count;4.0
01.02.2023 05:06:49;Marktplatz - Autos;count;5.0
01.02.2023 05:08:53;Marktplatz - Autos;count;5.0
01.02.2023 05:13:04;Marktplatz - Autos;count;5.0
01.02.2023 05:14:06;Marktplatz - Autos;count;5.0
01.02.2023 05:16:12;Marktplatz - Autos;count;5.0
01.02.2023 05:19:19;Marktplatz - Autos;count;3.0
01.02.2023 05:21:25;Marktplatz - Autos;count;3.0
01.02.2023 05:24:48;Marktplatz - Autos;count;3.0
01.02.2023 05:28:42;Marktplatz - Autos;count;1.0
01.02.2023 05:29:45;Marktplatz - Autos;count;1.0
01.02.2023 05:32:53;Marktplatz - Autos;count;1.0
01.02.2023 05:34:11;Marktplatz - Autos;count;1.0
01.02.2023 05:36:00;Marktplatz - Autos;count;4.0
01.02.2023 05:37:03;Marktplatz - Autos;count;4.0
01.02.2023 05:38:06;Marktplatz - Autos;count;4.0
01.02.2023 05:41:14;Marktplatz - Autos;count;4.0
01.02.2023 05:44:21;Marktplatz - Autos;count;4.0
01.02.2023 05:45:40;Marktplatz - Autos;count;5.0
01.02.2023 05:46:27;Marktplatz - Autos;count;5.0
01.02.2023 05:47:44;Marktplatz - Autos;count;5.0
01.02.2023 05:49:34;Marktplatz - Autos;count;5.0
01.02.2023 05:52:56;Marktplatz - Autos;count;5.0
01.02.2023 05:53:44;Marktplatz - Autos;count;5.0
01.02.2023 05:54:47;Marktplatz - Autos;count;5.0
01.02.2023 05:56:52;Marktplatz - Autos;count;4.0
01.02.2023 05:57:55;Marktplatz - Autos;count;4.0
01.02.2023 06:01:02;Marktplatz - Autos;count;3.0
01.02.2023 06:02:05;Marktplatz - Autos;count;4.0
01.02.2023 06:03:08;Marktplatz - Autos;count;4.0
01.02.2023 06:06:15;Marktplatz - Autos;count;4.0
01.02.2023 06:08:35;Marktplatz - Autos;count;4.0
01.02.2023 06:09:22;Marktplatz - Autos;count;4.0
01.02.2023 06:10:25;Marktplatz - Autos;count;5.0
01.02.2023 06:11:28;Marktplatz - Autos;count;5.0
01.02.2023 06:14:36;Marktplatz - Autos;count;5.0
01.02.2023 06:17:43;Marktplatz - Autos;count;5.0
01.02.2023 06:18:46;Marktplatz - Autos;count;5.0
01.02.2023 06:19:50;Marktplatz - Autos;count;5.0
01.02.2023 06:23:12;Marktplatz - Autos;count;6.0
01.02.2023 06:24:15;Marktplatz - Autos;count;6.0
01.02.2023 06:26:04;Marktplatz - Autos;count;6.0
01.02.2023 06:27:07;Marktplatz - Autos;count;7.0
